Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Héctor Bellerín,2,Arsenal,Defender,Spain,25,160,90,37,7,0,0,4,3,0,0,0,0,0,3,0,0,53,166,1.04,214,78%,1,32,208,304,143,3,732,611,709,196,1.23,161,215,1,1,18,0.11,7125,44.53,28,0.18,389,16%,31,144,0.9,0,0,0,0,0,0,0,0,0,0,23,0,125,8
Kieran Tierney,3,Arsenal,Defender,Scotland,23,16,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,2,16,1,21,81%,0,1,12,32,12,0,63,55,38,12,0.75,10,16,0,0,1,0.06,519,32.44,1,0.06,45,18%,0,22,1.38,0,0,0,0,0,0,0,0,0,0,2,0,9,0
William Saliba,4,Arsenal,Defender,France,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis,5,Arsenal,Defender,Greece,32,44,21,11,3,0,1,2,0,0,0,0,0,0,1,0,0,9,58,1.32,67,61%,1,4,43,175,82,1,173,227,160,11,0.25,115,73,0,1,2,0.05,2416,54.91,4,0.09,1,1%,2,172,3.91,0,0,0,0,0,0,0,0,0,0,18,0,56,1
Rob Holding,16,Arsenal,Defender,England,25,41,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,1.1,50,70%,1,3,54,170,92,0,192,176,142,19,0.46,96,64,0,0,0,0,2200,53.66,0,0,3,67%,1,116,2.83,0,0,0,0,0,0,0,0,0,0,8,0,32,0
Shkodran Mustafi,20,Arsenal,Defender,Germany,28,99,52,26,7,0,6,1,0,0,0,0,0,0,2,0,0,26,117,1.18,197,73%,2,14,195,531,345,2,455,670,416,26,0.26,413,218,0,3,4,0.04,5907,59.67,5,0.05,45,20%,13,273,2.76,0,0,0,0,0,0,0,0,0,0,28,0,117,7
Calum Chambers,21,Arsenal,Defender,England,25,139,47,57,6,0,1,4,1,0,0,0,0,0,1,0,0,28,170,1.22,257,70%,1,22,247,537,301,1,735,703,619,93,0.67,301,240,1,1,3,0.02,5935,42.7,9,0.06,210,18%,4,304,2.19,0,0,0,0,0,0,0,0,0,0,28,1,137,2
David Luiz,23,Arsenal,Defender,Brazil,33,194,113,38,13,0,6,6,1,0,0,0,0,0,5,0,0,64,173,0.89,240,74%,4,59,344,832,443,2,1042,846,680,80,0.41,344,256,1,4,7,0.04,10165,52.4,22,0.11,67,28%,79,980,5.05,0,0,0,0,0,0,0,0,0,0,40,3,212,5
Sead Kolasinac,31,Arsenal,Defender,Bosnia And Herzegovina,27,78,40,22,2,0,0,0,2,0,0,0,0,0,1,0,0,17,86,1.1,112,66%,0,11,72,111,68,0,365,284,264,41,0.53,97,80,0,1,11,0.14,3201,41.04,18,0.23,123,20%,3,67,0.86,0,0,0,0,0,0,0,0,0,0,12,0,74,16
Gabriel Magalhães,6,Arsenal,Defender,Brazil,22,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,2,2%,0,0,2,8,7,1,6,8,7,0,0,4,3,0,0,0,0,197,98.5,0,0,0,0%,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Alexandre Lacazette,9,Arsenal,Forward,France,29,99,46,28,39,0.39,4,30,5,2,1,204,93,46%,4,31,0.31,0,0,0,92,0,0,44,30,49,35,0,0,0,0,0,0,0,0,0,0,16,0.16,2045,20.66,15,0.15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,127,62
Pierre-Emerick Aubameyang,14,Arsenal,Forward,Gabon,31,87,43,25,55,0.63,3,44,8,7,1,222,105,47%,8,39,0.45,0,0,0,58,0,0,52,25,38,12,0,0,0,0,0,0,0,0,0,0,13,0.15,1880,21.61,17,0.2,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,30,55
Nicolas Pépé,19,Arsenal,Forward,Cote D'Ivoire,25,33,15,9,5,0.15,0,0,5,1,0,51,18,35%,3,2,0.06,0,0,0,32,0,0,14,8,4,2,0,0,0,0,0,0,0,0,0,0,6,0.18,723,21.91,8,0.24,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,4
Reiss Nelson,24,Arsenal,Forward,England,20,20,10,5,1,0.05,0,1,0,0,0,13,4,31%,0,0,0,0,0,0,15,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,286,14.3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4
Eddie Nketiah,30,Arsenal,Forward,England,21,23,12,8,4,0.17,0,2,2,0,0,20,8,40%,4,3,0.13,0,0,0,9,0,0,4,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,172,7.48,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,5
Gabriel Martinelli,35,Arsenal,Forward,Brazil,19,14,3,3,3,0.21,0,3,0,0,0,12,5,42%,0,1,0.07,0,0,0,20,75%,0,2,3,5,4,0,34,46,92,9,0.64,8,37,0,0,0,0,116,8.29,0,0,22,22%,1,2,0.14,0,0,0,0,0,0,0,0,0,0,1,0,9,2
Willian,12,Arsenal,Forward,Brazil,32,236,137,47,37,0.16,1,33,3,5,4,393,145,37%,15,20,0.08,0,0,0,246,0,0,111,100,54,24,0,0,0,0,0,0,0,0,0,0,35,0.15,8290,35.13,51,0.22,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,131,33
Bernd Leno,1,Arsenal,Goalkeeper,Germany,28,64,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1783,27.86,0,0,0,0,0,234,3.66,222,3.47,1,0.02,34,26,17,28,375,489,2,0,0,0
Matt Macey,33,Arsenal,Goalkeeper,England,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runar Alex Runarsson,13,Arsenal,Goalkeeper,Iceland,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut Ozil,10,Arsenal,Midfielder,Germany,31,184,100,39,33,0.18,4,4,25,0,1,205,92,45%,7,26,0.14,0,0,0,161,68%,0,58,75,37,13,0,778,625,744,248,1.35,28,83,0,2,54,0.29,11186,60.79,65,0.35,834,35%,121,276,1.5,0,0,0,0,0,0,0,0,0,0,13,0,95,83
Lucas Torreira,11,Arsenal,Midfielder,Uruguay,24,63,28,15,3,0.05,0,3,0,0,0,46,12,26%,1,1,0.02,0,0,0,96,57%,0,10,75,53,22,0,327,276,212,30,0.48,32,47,0,0,3,0.05,2493,39.57,3,0.05,40,28%,4,94,1.49,0,0,0,0,0,0,0,0,0,0,14,1,62,0
Ainsley Maitland-Niles,15,Arsenal,Midfielder,England,23,54,26,16,1,0.02,0,1,0,0,0,14,4,29%,1,1,0.02,0,0,0,101,62%,0,3,62,66,29,0,223,218,207,58,1.07,29,38,0,0,3,0.06,1867,34.57,4,0.07,57,21%,2,74,1.37,0,0,0,0,0,0,0,0,0,0,6,2,35,1
Mohamed Elneny,25,Arsenal,Midfielder,Egypt,28,47,29,10,0,47,0,0,0,0,0,44,5,11%,0,2,0.04,0,0,0,57,54%,0,22,41,41,15,0,211,109,107,11,0.23,18,34,0,0,3,0.06,2532,53.87,2,0.04,30,13%,4,83,1.77,0,0,0,0,0,0,0,0,0,0,7,1,24,2
Joseph Willock,28,Arsenal,Midfielder,England,21,33,12,12,1,0.03,0,1,0,0,0,18,5,28%,0,2,0.06,0,0,0,30,60%,0,4,6,10,4,0,64,75,76,21,0.64,9,18,0,0,1,0.03,398,12.06,1,0.03,9,22%,3,15,0.45,0,0,0,0,0,0,0,0,0,0,2,0,13,0
Matteo Guendouzi,29,Arsenal,Midfielder,France,21,57,24,17,0,57,0,0,0,0,0,27,9,33%,1,1,0.02,0,0,0,75,56%,0,11,59,58,29,0,284,263,217,47,0.82,31,40,0,1,1,0.02,2750,48.25,4,0.07,21,10%,16,148,2.6,0,0,0,0,0,0,0,0,0,0,15,0,41,0
Emile Smith Rowe,32,Arsenal,Midfielder,England,20,2,0,1,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,100%,0,0,1,2,2,0,5,4,4,2,1,0,0,0,0,0,0,35,17.5,0,0,1,1%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,34,Arsenal,Midfielder,Switzerland,27,132,70,33,8,0.06,0,0,8,0,2,144,41,28%,2,1,0.01,0,0,0,254,66%,0,40,133,208,129,0,885,650,607,69,0.52,181,173,0,7,13,0.1,9739,73.78,12,0.09,274,25%,35,673,5.1,0,0,0,0,0,0,0,0,0,0,35,2,196,2
Bukayo Saka,7,Arsenal,Midfielder,England,19,28,11,7,1,0.04,0,0,1,0,0,15,4,27%,1,1,0.04,0,0,0,36,0,0,5,12,12,7,0,0,0,0,0,0,0,0,0,0,5,0.18,716,25.57,6,0.21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,13
Dani Ceballos,8,Arsenal,Midfielder,Spain,24,26,14,6,0,26,0,0,0,0,0,14,3,21%,0,0,0,0,0,0,49,51%,0,6,37,14,9,0,163,127,129,30,1.15,12,26,0,0,3,0.12,1372,52.77,2,0.08,71,14%,7,81,3.12,0,0,0,0,0,0,0,0,0,0,1,0,21,0
Neil Taylor,3,Aston-Villa,Defender,Wales,31,145,48,62,0,0,0,0,0,0,0,0,0,0,0,0,0,38,190,1.31,266,76%,1,14,241,350,133,1,614,493,454,46,0.32,94,142,1,0,5,0.03,5491,37.87,6,0.04,255,22%,5,214,1.48,0,0,0,0,0,0,0,0,0,0,21,0,121,3
Ezri Konsa Ngoyo,4,Aston-Villa,Defender,England,22,26,8,12,2,0,1,1,0,0,0,0,0,0,0,0,0,5,39,1.5,19,53%,0,3,27,70,26,0,106,116,81,7,0.27,56,48,0,1,2,0.08,810,31.15,2,0.08,13,46%,0,36,1.38,0,0,0,0,0,0,0,0,0,0,3,0,17,1
Matt Targett,18,Aston-Villa,Defender,England,25,72,24,28,2,0,1,0,1,0,0,0,0,0,1,0,0,12,88,1.22,122,66%,0,8,124,156,61,1,297,274,239,21,0.29,84,84,0,1,6,0.08,2240,31.11,13,0.18,250,26%,8,140,1.94,0,0,0,0,0,0,0,0,0,0,8,0,41,2
Björn Engels,22,Aston-Villa,Defender,Belgium,26,17,3,12,1,0,1,0,0,0,0,0,0,0,0,0,0,2,32,1.88,11,55%,0,0,28,85,42,0,53,71,39,1,0.06,55,27,0,1,0,0,647,38.06,0,0,2,50%,0,49,2.88,0,0,0,0,0,0,0,0,0,0,1,0,5,1
Frédéric Guilbert,24,Aston-Villa,Defender,France,25,25,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,1.44,74,58%,0,2,49,62,26,0,104,164,172,23,0.92,48,68,0,0,2,0.08,749,29.96,1,0.04,91,16%,0,40,1.6,0,0,0,0,0,0,0,0,0,0,7,0,36,2
Ahmed El Mohamady,27,Aston-Villa,Defender,Egypt,33,183,48,91,6,0,4,2,0,0,0,0,0,0,4,0,0,28,237,1.3,267,77%,0,19,246,342,162,5,909,960,866,128,0.7,444,410,1,1,13,0.07,6628,36.22,19,0.1,916,21%,7,304,1.66,0,0,0,0,0,0,0,0,0,0,12,1,152,13
Kortney Hause,30,Aston-Villa,Defender,England,25,18,3,11,1,0.06,0,1,0,0,0,20,3,15%,0,3,0.17,0,0,0,21,43%,0,2,20,94,51,0,109,138,77,9,0.5,100,35,0,1,0,0,799,44.39,1,0.06,0,0%,1,62,3.44,0,0,0,0,0,0,0,0,0,0,3,0,24,1
Tyrone Mings,5,Aston-Villa,Defender,England,27,51,13,27,2,0,0,0,2,0,0,0,0,0,0,0,0,7,78,1.53,30,83%,1,1,49,253,111,3,270,162,113,18,0.35,96,69,2,2,3,0.06,1961,38.45,2,0.04,10,40%,0,155,3.04,0,0,0,0,0,0,0,0,0,0,8,0,30,2
Matthew Cash,2,Aston-Villa,Defender,England,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1%,0,2,2,4,1,0,5,1,2,0,0,0,2,0,0,0,0,56,56,0,0,6,33%,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wesley,9,Aston-Villa,Forward,Brazil,23,21,6,12,5,0.24,0,5,0,0,0,35,18,51%,1,5,0.24,0,0,0,15,0,0,8,4,23,18,0,0,0,0,0,0,0,0,0,0,1,0.05,367,17.48,1,0.05,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,43,14
Keinan Davis,39,Aston-Villa,Forward,England,22,19,4,9,0,19,0,0,0,0,0,17,5,29%,0,3,0.16,0,0,0,1,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,149,7.84,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
Ollie Watkins,11,Aston-Villa,Forward,England,24,1,1,0,0,1,0,0,0,0,0,3,0,3%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Bertrand Traoré,0,Aston-Villa,Forward,Burkina Faso,25,10,2,4,2,0.2,0,0,2,0,0,17,6,35%,0,0,0,0,0,0,9,0,0,7,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0.1,136,13.6,1,0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Tom Heaton,1,Aston-Villa,Goalkeeper,England,34,116,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,28,167,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3290,28.36,0,0,0,0,0,1067,9.2,408,3.52,3,0.03,40,96,73,53,436,1023,5,0,2,0
Jed Steer,12,Aston-Villa,Goalkeeper,England,28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,6,3,2,1,0,0,0,1,0,2,8,5,0,0,0,0
Orjan Nyland,25,Aston-Villa,Goalkeeper,Norway,30,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,21.71,0,0,0,0,0,35,5,15,2.14,0,0,1,3,2,0,29,53,0,0,0,0
Lovre Kalinic,28,Aston-Villa,Goalkeeper,Croatia,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,26,Aston-Villa,Goalkeeper,Argentina,28,16,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,24.81,0,0,0,0,0,62,3.88,44,2.75,1,0.06,2,22,6,4,86,103,2,0,1,0
Douglas Luiz,6,Aston-Villa,Midfielder,Brazil,22,37,10,20,3,0.08,0,2,1,0,0,41,13,32%,0,2,0.05,0,0,0,46,52%,0,17,36,47,18,0,211,150,163,36,0.97,31,36,0,1,2,0.05,1300,35.14,3,0.08,25,24%,4,100,2.7,0,0,0,0,0,0,0,0,0,0,8,0,51,0
John McGinn,7,Aston-Villa,Midfielder,Scotland,25,29,7,15,3,0.1,0,0,3,0,0,57,20,35%,2,4,0.14,0,0,0,53,66%,0,12,26,15,6,0,157,193,185,53,1.83,19,35,0,0,3,0.1,759,26.17,3,0.1,67,21%,3,85,2.93,0,0,0,0,0,0,0,0,0,0,4,0,38,0
Henri Lansbury,8,Aston-Villa,Midfielder,England,29,13,4,8,0,13,0,0,0,0,0,3,0,3%,0,0,0,0,0,0,7,43%,0,1,1,2,0,0,14,10,16,0,0,2,6,0,0,0,0,115,8.85,0,0,2,50%,0,11,0.85,0,0,0,0,0,0,0,0,0,0,1,0,5,1
Jack Grealish,10,Aston-Villa,Midfielder,England,25,71,17,42,9,0.13,0,6,3,0,0,105,32,30%,2,6,0.08,0,0,0,45,71%,0,33,44,17,6,0,293,419,293,122,1.72,29,42,0,1,7,0.1,2098,29.55,12,0.17,202,23%,2,103,1.45,0,0,0,0,0,0,0,0,0,0,9,0,47,6
Marvelous Nakamba,19,Aston-Villa,Midfielder,Zimbabwe,26,29,7,16,0,29,0,0,0,0,0,7,1,14%,0,0,0,0,0,0,55,51%,0,0,39,32,7,0,155,115,110,14,0.48,23,29,0,1,0,0,782,26.97,0,0,4,4%,0,24,0.83,0,0,0,0,0,0,0,0,0,0,5,0,26,0
Conor Hourihane,14,Aston-Villa,Midfielder,Ireland,29,28,8,13,3,0.11,0,0,3,0,1,30,10,33%,1,1,0.04,0,0,0,16,63%,0,13,9,27,10,0,73,54,50,4,0.14,14,9,0,0,5,0.18,665,23.75,8,0.29,124,24%,1,22,0.79,0,0,0,0,0,0,0,0,0,0,4,0,15,4
Trézéguet,17,Aston-Villa,Midfielder,Egypt,25,35,9,19,6,0.17,0,5,1,0,0,52,17,33%,2,3,0.09,0,0,0,40,45%,0,22,27,14,9,0,80,134,175,30,0.86,32,48,0,0,1,0.03,388,11.09,0,0,73,16%,0,10,0.29,0,0,0,0,0,0,0,0,0,0,2,1,39,6
Anwar El Ghazi,21,Aston-Villa,Midfielder,Netherlands,25,34,7,19,4,0.12,0,4,0,1,0,52,20,38%,2,7,0.21,0,0,0,20,55%,0,11,13,12,6,0,75,97,151,29,0.85,31,57,0,0,4,0.12,479,14.09,4,0.12,107,24%,1,15,0.44,0,0,0,0,0,0,0,0,0,0,3,0,20,12
Jota,23,Aston-Villa,Midfielder,Spain,29,10,2,7,0,10,0,0,0,0,0,6,1,17%,0,0,0,0,0,0,3,33%,0,4,3,5,1,0,26,13,25,7,0.7,1,2,0,0,1,0.1,93,9.3,1,0.1,2,2%,2,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Jacob Ramsey,41,Aston-Villa,Midfielder,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,3,Brighton-and-Hove-Albion,Defender,England,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.5,2,100%,0,0,2,2,1,0,5,8,5,1,0.5,4,3,0,0,0,0,101,50.5,0,0,1,1%,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tariq Lamptey,2,Brighton-and-Hove-Albion,Defender,England,19,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,12,83%,0,2,23,16,8,0,41,57,51,17,1.55,5,10,0,0,2,0.18,243,22.09,4,0.36,27,15%,0,3,0.27,0,0,0,0,0,0,0,0,0,0,3,0,16,0
Lewis Dunk,5,Brighton-and-Hove-Albion,Defender,England,28,112,28,49,6,0,3,3,0,0,0,0,0,0,1,0,0,27,162,1.45,151,56%,4,16,173,547,304,4,725,560,362,15,0.13,345,192,4,2,5,0.04,5364,47.89,3,0.03,10,20%,6,506,4.52,0,0,0,0,0,0,0,0,0,0,21,1,80,1
Adam Webster,4,Brighton-and-Hove-Albion,Defender,England,25,33,8,13,3,0,2,1,0,0,0,0,0,0,0,0,0,6,47,1.42,33,55%,0,3,48,112,55,0,184,179,108,14,0.42,114,68,1,1,1,0.03,2001,60.64,2,0.06,6,33%,1,120,3.64,0,0,0,0,0,0,0,0,0,0,4,0,14,0
Bernardo,30,Brighton-and-Hove-Albion,Defender,Brazil,25,36,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,1.28,89,66%,0,5,40,86,49,1,169,212,109,22,0.61,75,38,0,0,1,0.03,1115,30.97,3,0.08,48,19%,0,35,0.97,0,0,0,0,0,0,0,0,0,0,5,0,20,6
Dan Burn,33,Brighton-and-Hove-Albion,Defender,England,28,44,11,19,0,0,0,0,0,0,0,0,0,0,1,0,0,9,60,1.36,73,64%,0,5,51,203,129,1,175,270,191,19,0.43,165,68,0,0,0,0,1792,40.73,2,0.05,51,20%,3,62,1.41,0,0,0,0,0,0,0,0,0,0,5,0,38,3
Joel Veltman,34,Brighton-and-Hove-Albion,Defender,Netherlands,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romaric Yapi,52,Brighton-and-Hove-Albion,Defender,France,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Cochrane,50,Brighton-and-Hove-Albion,Defender,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haydon Roberts,58,Brighton-and-Hove-Albion,Defender,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,11,Brighton-and-Hove-Albion,Forward,Belgium,25,33,7,14,6,0.18,0,3,3,0,0,45,14,31%,3,8,0.24,0,0,0,23,0,0,8,11,6,2,0,0,0,0,0,0,0,0,0,0,4,0.12,772,23.39,7,0.21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4
Neal Maupay,9,Brighton-and-Hove-Albion,Forward,France,24,39,10,16,12,0.31,3,3,6,2,0,101,41,41%,1,11,0.28,0,0,0,21,0,0,31,5,9,3,0,0,0,0,0,0,0,0,0,0,4,0.1,710,18.21,3,0.08,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,15
Alireza Jahanbakhsh,16,Brighton-and-Hove-Albion,Forward,Iran,27,31,8,16,2,0.06,0,2,0,0,0,34,8,24%,2,0,0,0,0,0,41,0,0,10,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,401,12.94,2,0.06,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,7
José Izquierdo,19,Brighton-and-Hove-Albion,Forward,Colombia,28,47,13,19,5,0.11,0,5,0,0,0,67,19,28%,0,3,0.06,0,0,0,38,0,0,19,21,32,11,0,0,0,0,0,0,0,0,0,0,4,0.09,728,15.49,4,0.09,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,18
Aaron Connolly,7,Brighton-and-Hove-Albion,Forward,Ireland,20,26,8,12,4,0.15,0,4,0,0,0,43,16,37%,0,5,0.19,0,0,0,8,0,0,14,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0.04,161,6.19,1,0.04,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16
Florin Andone,21,Brighton-and-Hove-Albion,Forward,Romania,27,26,5,14,4,0.15,2,2,0,0,0,20,9,45%,0,3,0.12,0,0,0,11,0,0,6,3,13,6,0,0,0,0,0,0,0,0,0,0,0,0,177,6.81,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,30,4
Viktor Gyökeres,42,Brighton-and-Hove-Albion,Forward,Sweden,22,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mat Ryan,1,Brighton-and-Hove-Albion,Goalkeeper,Australia,28,112,27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,26,166,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3272,29.21,0,0,0,0,0,964,8.61,340,3.04,2,0.02,32,68,17,15,491,956,2,0,2,0
Jason Steele,23,Brighton-and-Hove-Albion,Goalkeeper,England,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Walton,31,Brighton-and-Hove-Albion,Goalkeeper,England,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,26,Brighton-and-Hove-Albion,Goalkeeper,Spain,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,6,Brighton-and-Hove-Albion,Midfielder,England,31,99,24,45,1,0.01,0,0,1,0,0,49,5,10%,1,0,0,0,0,0,261,63%,0,16,167,152,90,0,724,402,445,35,0.35,73,75,0,0,5,0.05,4785,48.33,4,0.04,6,17%,7,381,3.85,0,0,0,0,0,0,0,0,0,0,20,1,136,0
Yves Bissouma,8,Brighton-and-Hove-Albion,Midfielder,Mali,24,52,13,26,1,0.02,0,1,0,0,0,51,10,20%,1,2,0.04,0,0,0,115,63%,0,11,57,48,23,0,239,285,261,79,1.52,48,49,0,1,0,0,1441,27.71,1,0.02,14,21%,6,74,1.42,0,0,0,0,0,0,0,0,0,0,9,1,74,2
Alexis Mac Allister,10,Brighton-and-Hove-Albion,Midfielder,Argentina,21,9,3,2,0,9,0,0,0,0,0,7,1,14%,0,1,0.11,0,0,0,9,56%,0,3,1,1,0,0,15,17,22,2,0.22,3,5,0,0,0,0,98,10.89,0,0,23,13%,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,4,1
